participant,participant_gender,search_term,image_url,image_selected,image_gender,image_position,bls_p_women,bls_p_image_gender,search_p_women,synthetic_p_women,quality_rating
b30,female,author,http://homes.cs.washington.edu/~mjskay/aws-images/google/author/21.jpg,FALSE,man,7,0.556,0.444,0.246153846,0,poor
b20,male,mail carrier,http://homes.cs.washington.edu/~mjskay/aws-images/google/mail carrier/9.jpg,FALSE,woman,7,0.377,0.377,0.287671233,0.625,very good
b6,male,primary school teacher,http://homes.cs.washington.edu/~mjskay/aws-images/google/primary school teacher/22.jpg,FALSE,man,7,0.814,0.186,0.717948718,0.125,fair
b7,male,software developer,http://homes.cs.washington.edu/~mjskay/aws-images/google/software developer/26.jpg,FALSE,woman,7,0.197,0.197,0.148148148,0.5,fair
b12,female,pilot,http://homes.cs.washington.edu/~mjskay/aws-images/google/pilot/72.jpg,FALSE,woman,7,0.041,0.041,0.103896104,0.875,very good
b25,male,childcare worker,http://homes.cs.washington.edu/~mjskay/aws-images/google/childcare worker/6.jpg,FALSE,woman,7,0.941,0.941,0.873239437,0.875,very good
b4,male,chemist,http://homes.cs.washington.edu/~mjskay/aws-images/google/chemist/9.jpg,FALSE,woman,7,0.442,0.442,0.532467532,0.5,very good
b5,female,optician,http://homes.cs.washington.edu/~mjskay/aws-images/google/optician/15.jpg,FALSE,man,7,0.596,0.404,0.685714286,0.375,very good
b36,female,cook,http://homes.cs.washington.edu/~mjskay/aws-images/google/cook/65.jpg,TRUE,woman,7,0.377,0.377,0.141025641,1,fair
b22,male,bus driver,http://homes.cs.washington.edu/~mjskay/aws-images/google/bus driver/18.jpg,FALSE,woman,7,0.455,0.455,0.1875,0.25,good
b3,female,bus driver,http://homes.cs.washington.edu/~mjskay/aws-images/google/bus driver/75.jpg,FALSE,woman,7,0.455,0.455,0.1875,0.75,good
b21,male,engineer,http://homes.cs.washington.edu/~mjskay/aws-images/google/engineer/7.jpg,TRUE,man,7,0.132,0.868,0.154929577,0,poor
b23,female,chef,http://homes.cs.washington.edu/~mjskay/aws-images/google/chef/26.jpg,FALSE,woman,7,0.215,0.215,0.241758242,1,good
b32,female,pharmacist,http://homes.cs.washington.edu/~mjskay/aws-images/google/pharmacist/17.jpg,FALSE,woman,7,0.537,0.537,0.576923077,1,very good
b12,female,special ed teacher,http://homes.cs.washington.edu/~mjskay/aws-images/google/special ed teacher/39.jpg,FALSE,man,7,0.862,0.138,0.779069767,0.5,good
b25,male,chemist,http://homes.cs.washington.edu/~mjskay/aws-images/google/chemist/14.jpg,FALSE,woman,7,0.442,0.442,0.532467532,1,very good
b8,male,nurse practitioner,http://homes.cs.washington.edu/~mjskay/aws-images/google/nurse practitioner/42.jpg,FALSE,man,7,0.861,0.139,0.846153846,0.5,very good
b17,female,cook,http://homes.cs.washington.edu/~mjskay/aws-images/google/cook/10.jpg,FALSE,man,7,0.377,0.623,0.141025641,0.125,fair
b30,female,computer programmer,http://homes.cs.washington.edu/~mjskay/aws-images/google/computer programmer/77.jpg,FALSE,woman,7,0.225,0.225,0.166666667,0.75,good
b7,male,chemist,http://homes.cs.washington.edu/~mjskay/aws-images/google/chemist/9.jpg,FALSE,woman,7,0.442,0.442,0.532467532,0.5,very good
b38,male,cook,http://homes.cs.washington.edu/~mjskay/aws-images/google/cook/57.jpg,FALSE,woman,7,0.377,0.377,0.141025641,0.625,very poor
b36,female,chief executive officer,http://homes.cs.washington.edu/~mjskay/aws-images/google/chief executive officer/7.jpg,TRUE,man,7,0.274,0.726,0.112244898,0.125,good
b22,male,primary school teacher,http://homes.cs.washington.edu/~mjskay/aws-images/google/primary school teacher/6.jpg,FALSE,man,7,0.814,0.186,0.717948718,0.875,good
b15,female,police officer,http://homes.cs.washington.edu/~mjskay/aws-images/google/police officer/8.jpg,FALSE,man,7,0.126,0.874,0.138888889,0.125,very good
b8,male,police officer,http://homes.cs.washington.edu/~mjskay/aws-images/google/police officer/56.jpg,FALSE,woman,7,0.126,0.126,0.138888889,0.875,very good
b3,female,childcare worker,http://homes.cs.washington.edu/~mjskay/aws-images/google/childcare worker/6.jpg,FALSE,woman,7,0.941,0.941,0.873239437,1,good
b17,female,building inspector,http://homes.cs.washington.edu/~mjskay/aws-images/google/building inspector/84.jpg,FALSE,woman,7,0.078,0.078,0.06779661,0.5,good
b30,female,telemarketer,http://homes.cs.washington.edu/~mjskay/aws-images/google/telemarketer/12.jpg,FALSE,woman,7,0.503,0.503,0.644444444,1,good
b20,male,engineer,http://homes.cs.washington.edu/~mjskay/aws-images/google/engineer/17.jpg,FALSE,woman,7,0.132,0.132,0.154929577,0.5,good
b21,male,telemarketer,http://homes.cs.washington.edu/~mjskay/aws-images/google/telemarketer/7.jpg,FALSE,man,7,0.503,0.497,0.644444444,0.5,fair
b36,female,administrative assistant,http://homes.cs.washington.edu/~mjskay/aws-images/google/administrative assistant/57.jpg,FALSE,man,7,0.953,0.047,0.923076923,0.5,fair
b23,female,customer service representative,http://homes.cs.washington.edu/~mjskay/aws-images/google/customer service representative/12.jpg,TRUE,woman,7,0.678,0.678,0.6875,0.625,very good
b26,female,cook,http://homes.cs.washington.edu/~mjskay/aws-images/google/cook/42.jpg,FALSE,woman,7,0.377,0.377,0.141025641,0.375,good
b5,female,administrative assistant,http://homes.cs.washington.edu/~mjskay/aws-images/google/administrative assistant/57.jpg,FALSE,man,7,0.953,0.047,0.923076923,0.5,fair
b4,male,pilot,http://homes.cs.washington.edu/~mjskay/aws-images/google/pilot/87.jpg,FALSE,woman,7,0.041,0.041,0.103896104,1,very good
b25,male,doctor,http://homes.cs.washington.edu/~mjskay/aws-images/google/doctor/19.jpg,FALSE,woman,7,0.343,0.343,0.301204819,0.625,very good
b22,male,cook,http://homes.cs.washington.edu/~mjskay/aws-images/google/cook/10.jpg,FALSE,man,7,0.377,0.623,0.141025641,0.125,very poor
b8,male,bus driver,http://homes.cs.washington.edu/~mjskay/aws-images/google/bus driver/87.jpg,TRUE,woman,7,0.455,0.455,0.1875,1,very good
b3,female,doctor,http://homes.cs.washington.edu/~mjskay/aws-images/google/doctor/19.jpg,FALSE,woman,7,0.343,0.343,0.301204819,0.625,very good
b30,female,chef,http://homes.cs.washington.edu/~mjskay/aws-images/google/chef/22.jpg,FALSE,woman,7,0.215,0.215,0.241758242,0.75,very good
b7,male,chief executive officer,http://homes.cs.washington.edu/~mjskay/aws-images/google/chief executive officer/8.jpg,FALSE,woman,7,0.274,0.274,0.112244898,0.25,fair
b38,male,announcer,http://homes.cs.washington.edu/~mjskay/aws-images/google/announcer/19.jpg,FALSE,woman,7,0.236,0.236,0.209302326,0.5,poor
b35,female,childcare worker,http://homes.cs.washington.edu/~mjskay/aws-images/google/childcare worker/56.jpg,FALSE,man,7,0.941,0.059,0.873239437,0.125,fair
b23,female,bartender,http://homes.cs.washington.edu/~mjskay/aws-images/google/bartender/10.jpg,FALSE,woman,7,0.599,0.599,0.234042553,0.375,good
b36,female,biologist,http://homes.cs.washington.edu/~mjskay/aws-images/google/biologist/8.jpg,FALSE,man,7,0.501,0.499,0.353846154,0.5,fair
b5,female,plumber,http://homes.cs.washington.edu/~mjskay/aws-images/google/plumber/72.jpg,FALSE,woman,7,0.013,0.013,0.047058824,0.5,good
b8,male,computer programmer,http://homes.cs.washington.edu/~mjskay/aws-images/google/computer programmer/22.jpg,FALSE,woman,7,0.225,0.225,0.166666667,0.25,poor
b3,female,technical writer,http://homes.cs.washington.edu/~mjskay/aws-images/google/technical writer/10.jpg,TRUE,man,7,0.555,0.445,0.35,0.5,fair
b30,female,cook,http://homes.cs.washington.edu/~mjskay/aws-images/google/cook/64.jpg,FALSE,woman,7,0.377,0.377,0.141025641,0.875,fair
b18,female,bus driver,http://homes.cs.washington.edu/~mjskay/aws-images/google/bus driver/48.jpg,FALSE,woman,7,0.455,0.455,0.1875,0.5,fair
b21,male,chef,http://homes.cs.washington.edu/~mjskay/aws-images/google/chef/18.jpg,FALSE,woman,7,0.215,0.215,0.241758242,0.5,good
b7,male,optician,http://homes.cs.washington.edu/~mjskay/aws-images/google/optician/15.jpg,FALSE,man,7,0.596,0.404,0.685714286,0.375,fair
b36,female,construction worker,http://homes.cs.washington.edu/~mjskay/aws-images/google/construction worker/8.jpg,FALSE,man,7,0.029,0.971,0.125,0,good
b27,male,construction worker,http://homes.cs.washington.edu/~mjskay/aws-images/google/construction worker/7.jpg,FALSE,man,7,0.029,0.971,0.125,0.125,very good
b5,female,construction worker,http://homes.cs.washington.edu/~mjskay/aws-images/google/construction worker/8.jpg,FALSE,man,7,0.029,0.971,0.125,0,very good
b12,female,computer programmer,http://homes.cs.washington.edu/~mjskay/aws-images/google/computer programmer/52.jpg,FALSE,woman,7,0.225,0.225,0.166666667,0.5,good
b22,male,computer programmer,http://homes.cs.washington.edu/~mjskay/aws-images/google/computer programmer/52.jpg,FALSE,woman,7,0.225,0.225,0.166666667,0.5,very poor
b8,male,lab tech,http://homes.cs.washington.edu/~mjskay/aws-images/google/lab tech/11.jpg,FALSE,man,7,0.728,0.272,0.651162791,0.5,very good
b30,female,technical writer,http://homes.cs.washington.edu/~mjskay/aws-images/google/technical writer/19.jpg,FALSE,man,7,0.555,0.445,0.35,0,fair
b21,male,chemist,http://homes.cs.washington.edu/~mjskay/aws-images/google/chemist/9.jpg,FALSE,woman,7,0.442,0.442,0.532467532,0.5,good
b38,male,pharmacist,http://homes.cs.washington.edu/~mjskay/aws-images/google/pharmacist/9.jpg,FALSE,woman,7,0.537,0.537,0.576923077,0.5,very good
b19,male,mail carrier,http://homes.cs.washington.edu/~mjskay/aws-images/google/mail carrier/10.jpg,FALSE,woman,7,0.377,0.377,0.287671233,0.75,very good
b5,female,cook,http://homes.cs.washington.edu/~mjskay/aws-images/google/cook/64.jpg,FALSE,woman,7,0.377,0.377,0.141025641,0.875,fair
b36,female,insurance sales agent,http://homes.cs.washington.edu/~mjskay/aws-images/google/insurance sales agent/12.jpg,FALSE,woman,7,0.441,0.441,0.476190476,0.5,fair
b25,male,bartender,http://homes.cs.washington.edu/~mjskay/aws-images/google/bartender/25.jpg,TRUE,woman,7,0.599,0.599,0.234042553,0.75,very good
b12,female,bartender,http://homes.cs.washington.edu/~mjskay/aws-images/google/bartender/25.jpg,FALSE,woman,7,0.599,0.599,0.234042553,0.75,good
b4,male,custodian,http://homes.cs.washington.edu/~mjskay/aws-images/google/custodian/32.jpg,FALSE,woman,7,0.297,0.297,0.15625,0.5,good
b22,male,pharmacist,http://homes.cs.washington.edu/~mjskay/aws-images/google/pharmacist/14.jpg,FALSE,woman,7,0.537,0.537,0.576923077,0.625,very good
b15,female,bartender,http://homes.cs.washington.edu/~mjskay/aws-images/google/bartender/7.jpg,FALSE,man,7,0.599,0.401,0.234042553,0,very good
b3,female,mail carrier,http://homes.cs.washington.edu/~mjskay/aws-images/google/mail carrier/8.jpg,FALSE,woman,7,0.377,0.377,0.287671233,0.5,very good
b18,female,customer service representative,http://homes.cs.washington.edu/~mjskay/aws-images/google/customer service representative/35.jpg,FALSE,man,7,0.678,0.322,0.6875,0.25,good
b21,male,technical writer,http://homes.cs.washington.edu/~mjskay/aws-images/google/technical writer/19.jpg,FALSE,man,7,0.555,0.445,0.35,0,poor
b29,male,nurse practitioner,http://homes.cs.washington.edu/~mjskay/aws-images/google/nurse practitioner/7.jpg,FALSE,woman,7,0.861,0.861,0.846153846,1,good
b12,female,mail carrier,http://homes.cs.washington.edu/~mjskay/aws-images/google/mail carrier/8.jpg,FALSE,woman,7,0.377,0.377,0.287671233,0.5,good
b25,male,mail carrier,http://homes.cs.washington.edu/~mjskay/aws-images/google/mail carrier/8.jpg,FALSE,woman,7,0.377,0.377,0.287671233,0.5,very good
b23,female,bus driver,http://homes.cs.washington.edu/~mjskay/aws-images/google/bus driver/75.jpg,FALSE,woman,7,0.455,0.455,0.1875,0.75,fair
b10,male,bartender,http://homes.cs.washington.edu/~mjskay/aws-images/google/bartender/17.jpg,FALSE,woman,7,0.599,0.599,0.234042553,0.5,good
b15,female,bus driver,http://homes.cs.washington.edu/~mjskay/aws-images/google/bus driver/75.jpg,FALSE,woman,7,0.455,0.455,0.1875,0.75,good
b8,male,technical writer,http://homes.cs.washington.edu/~mjskay/aws-images/google/technical writer/10.jpg,TRUE,man,7,0.555,0.445,0.35,0.375,very poor
b3,female,security guard,http://homes.cs.washington.edu/~mjskay/aws-images/google/security guard/89.jpg,FALSE,woman,7,0.185,0.185,0.052631579,0.5,good
b30,female,pilot,http://homes.cs.washington.edu/~mjskay/aws-images/google/pilot/72.jpg,FALSE,woman,7,0.041,0.041,0.103896104,0.875,fair
b18,female,special ed teacher,http://homes.cs.washington.edu/~mjskay/aws-images/google/special ed teacher/53.jpg,FALSE,man,7,0.862,0.138,0.779069767,0.25,very poor
b7,male,childcare worker,http://homes.cs.washington.edu/~mjskay/aws-images/google/childcare worker/6.jpg,FALSE,woman,7,0.941,0.941,0.873239437,1,very good
b38,male,engineer,http://homes.cs.washington.edu/~mjskay/aws-images/google/engineer/17.jpg,FALSE,woman,7,0.132,0.132,0.154929577,0.5,very poor
b25,male,engineer,http://homes.cs.washington.edu/~mjskay/aws-images/google/engineer/17.jpg,FALSE,woman,7,0.132,0.132,0.154929577,0.5,good
b4,male,police officer,http://homes.cs.washington.edu/~mjskay/aws-images/google/police officer/57.jpg,FALSE,woman,7,0.126,0.126,0.138888889,1,good
b12,female,technical writer,http://homes.cs.washington.edu/~mjskay/aws-images/google/technical writer/38.jpg,FALSE,woman,7,0.555,0.555,0.35,1,good
b22,male,chemist,http://homes.cs.washington.edu/~mjskay/aws-images/google/chemist/17.jpg,FALSE,man,7,0.442,0.558,0.532467532,0,fair
b10,male,cook,http://homes.cs.washington.edu/~mjskay/aws-images/google/cook/57.jpg,FALSE,woman,7,0.377,0.377,0.141025641,0.625,poor
b15,female,lab tech,http://homes.cs.washington.edu/~mjskay/aws-images/google/lab tech/13.jpg,FALSE,woman,7,0.728,0.728,0.651162791,0.625,very good
b8,male,construction worker,http://homes.cs.washington.edu/~mjskay/aws-images/google/construction worker/8.jpg,FALSE,man,7,0.029,0.971,0.125,0,very good
b3,female,pilot,http://homes.cs.washington.edu/~mjskay/aws-images/google/pilot/55.jpg,FALSE,woman,7,0.041,0.041,0.103896104,0.5,fair
b31,male,chemist,http://homes.cs.washington.edu/~mjskay/aws-images/google/chemist/17.jpg,FALSE,man,7,0.442,0.558,0.532467532,0,good
b2,female,announcer,http://homes.cs.washington.edu/~mjskay/aws-images/google/announcer/22.jpg,FALSE,woman,7,0.236,0.236,0.209302326,0.75,fair
b25,male,biologist,http://homes.cs.washington.edu/~mjskay/aws-images/google/biologist/26.jpg,TRUE,woman,7,0.501,0.501,0.353846154,1,very good
b32,female,chemist,http://homes.cs.washington.edu/~mjskay/aws-images/google/chemist/9.jpg,FALSE,woman,7,0.442,0.442,0.532467532,0.5,good
b22,male,doctor,http://homes.cs.washington.edu/~mjskay/aws-images/google/doctor/7.jpg,FALSE,woman,7,0.343,0.343,0.301204819,0.375,fair
b28,female,bus driver,http://homes.cs.washington.edu/~mjskay/aws-images/google/bus driver/48.jpg,FALSE,woman,7,0.455,0.455,0.1875,0.5,fair
b4,male,bus driver,http://homes.cs.washington.edu/~mjskay/aws-images/google/bus driver/19.jpg,FALSE,man,7,0.455,0.545,0.1875,0,very good
b5,female,bus driver,http://homes.cs.washington.edu/~mjskay/aws-images/google/bus driver/48.jpg,FALSE,woman,7,0.455,0.455,0.1875,0.5,very good
b3,female,construction worker,http://homes.cs.washington.edu/~mjskay/aws-images/google/construction worker/7.jpg,FALSE,man,7,0.029,0.971,0.125,0.125,very good
b6,male,security guard,http://homes.cs.washington.edu/~mjskay/aws-images/google/security guard/89.jpg,FALSE,woman,7,0.185,0.185,0.052631579,0.5,good
b21,male,nurse practitioner,http://homes.cs.washington.edu/~mjskay/aws-images/google/nurse practitioner/7.jpg,FALSE,woman,7,0.861,0.861,0.846153846,0.875,fair
b35,female,lab tech,http://homes.cs.washington.edu/~mjskay/aws-images/google/lab tech/17.jpg,FALSE,woman,7,0.728,0.728,0.651162791,1,very good
b36,female,chef,http://homes.cs.washington.edu/~mjskay/aws-images/google/chef/6.jpg,TRUE,man,7,0.215,0.785,0.241758242,0.25,good
b5,female,computer programmer,http://homes.cs.washington.edu/~mjskay/aws-images/google/computer programmer/22.jpg,FALSE,woman,7,0.225,0.225,0.166666667,0.25,poor
b10,male,biologist,http://homes.cs.washington.edu/~mjskay/aws-images/google/biologist/26.jpg,TRUE,woman,7,0.501,0.501,0.353846154,1,fair
b15,female,customer service representative,http://homes.cs.washington.edu/~mjskay/aws-images/google/customer service representative/31.jpg,FALSE,man,7,0.678,0.322,0.6875,0.375,very good
b8,male,primary school teacher,http://homes.cs.washington.edu/~mjskay/aws-images/google/primary school teacher/17.jpg,FALSE,man,7,0.814,0.186,0.717948718,0.5,very good
b30,female,police officer,http://homes.cs.washington.edu/~mjskay/aws-images/google/police officer/56.jpg,FALSE,woman,7,0.126,0.126,0.138888889,0.875,very good
b21,male,bus driver,http://homes.cs.washington.edu/~mjskay/aws-images/google/bus driver/48.jpg,FALSE,woman,7,0.455,0.455,0.1875,0.5,good
b27,male,cook,http://homes.cs.washington.edu/~mjskay/aws-images/google/cook/64.jpg,FALSE,woman,7,0.377,0.377,0.141025641,0.875,fair
b25,male,police officer,http://homes.cs.washington.edu/~mjskay/aws-images/google/police officer/8.jpg,FALSE,man,7,0.126,0.874,0.138888889,0.125,very good
b4,male,computer programmer,http://homes.cs.washington.edu/~mjskay/aws-images/google/computer programmer/8.jpg,FALSE,man,7,0.225,0.775,0.166666667,0.125,good
b28,female,software developer,http://homes.cs.washington.edu/~mjskay/aws-images/google/software developer/58.jpg,FALSE,woman,7,0.197,0.197,0.148148148,0.875,good
b5,female,cook,http://homes.cs.washington.edu/~mjskay/aws-images/google/cook/64.jpg,FALSE,woman,7,0.377,0.377,0.141025641,0.875,fair
b3,female,administrative assistant,http://homes.cs.washington.edu/~mjskay/aws-images/google/administrative assistant/57.jpg,FALSE,man,7,0.953,0.047,0.923076923,0.5,fair
b38,male,customer service representative,http://homes.cs.washington.edu/~mjskay/aws-images/google/customer service representative/12.jpg,FALSE,woman,7,0.678,0.678,0.6875,0.75,fair
b19,male,bus driver,http://homes.cs.washington.edu/~mjskay/aws-images/google/bus driver/19.jpg,FALSE,man,7,0.455,0.545,0.1875,0,very good
b34,female,plumber,http://homes.cs.washington.edu/~mjskay/aws-images/google/plumber/72.jpg,FALSE,woman,7,0.013,0.013,0.047058824,0.5,good
b5,female,nurse practitioner,http://homes.cs.washington.edu/~mjskay/aws-images/google/nurse practitioner/7.jpg,FALSE,woman,7,0.861,0.861,0.846153846,0.875,poor
b25,male,custodian,http://homes.cs.washington.edu/~mjskay/aws-images/google/custodian/36.jpg,FALSE,woman,7,0.297,0.297,0.15625,0.75,fair
b26,female,bartender,http://homes.cs.washington.edu/~mjskay/aws-images/google/bartender/41.jpg,TRUE,woman,7,0.599,0.599,0.234042553,1,poor
b4,male,bartender,http://homes.cs.washington.edu/~mjskay/aws-images/google/bartender/41.jpg,FALSE,woman,7,0.599,0.599,0.234042553,1,very good
b12,female,bus driver,http://homes.cs.washington.edu/~mjskay/aws-images/google/bus driver/87.jpg,TRUE,woman,7,0.455,0.455,0.1875,1,good
b8,male,special ed teacher,http://homes.cs.washington.edu/~mjskay/aws-images/google/special ed teacher/53.jpg,FALSE,man,7,0.862,0.138,0.779069767,0.25,poor
b3,female,insurance sales agent,http://homes.cs.washington.edu/~mjskay/aws-images/google/insurance sales agent/12.jpg,FALSE,woman,7,0.441,0.441,0.476190476,0.5,fair
b30,female,chemist,http://homes.cs.washington.edu/~mjskay/aws-images/google/chemist/9.jpg,FALSE,woman,7,0.442,0.442,0.532467532,0.5,good
b18,female,biologist,http://homes.cs.washington.edu/~mjskay/aws-images/google/biologist/15.jpg,TRUE,man,7,0.501,0.499,0.353846154,0,poor
b38,male,computer programmer,http://homes.cs.washington.edu/~mjskay/aws-images/google/computer programmer/52.jpg,FALSE,woman,7,0.225,0.225,0.166666667,0.5,poor
b36,female,pilot,http://homes.cs.washington.edu/~mjskay/aws-images/google/pilot/6.jpg,FALSE,man,7,0.041,0.959,0.103896104,0,good
b27,male,primary school teacher,http://homes.cs.washington.edu/~mjskay/aws-images/google/primary school teacher/6.jpg,FALSE,man,7,0.814,0.186,0.717948718,0.875,very good
b12,female,childcare worker,http://homes.cs.washington.edu/~mjskay/aws-images/google/childcare worker/6.jpg,FALSE,woman,7,0.941,0.941,0.873239437,1,good
b4,male,biologist,http://homes.cs.washington.edu/~mjskay/aws-images/google/biologist/26.jpg,FALSE,woman,7,0.501,0.501,0.353846154,1,good
b25,male,biologist,http://homes.cs.washington.edu/~mjskay/aws-images/google/biologist/26.jpg,TRUE,woman,7,0.501,0.501,0.353846154,1,very good
b8,male,doctor,http://homes.cs.washington.edu/~mjskay/aws-images/google/doctor/12.jpg,FALSE,woman,7,0.343,0.343,0.301204819,0.5,very good
b3,female,housekeeper,http://homes.cs.washington.edu/~mjskay/aws-images/google/housekeeper/41.jpg,FALSE,man,7,0.881,0.119,0.926829268,0.5,good
b30,female,announcer,http://homes.cs.washington.edu/~mjskay/aws-images/google/announcer/19.jpg,FALSE,woman,7,0.236,0.236,0.209302326,0.5,good
b5,female,pilot,http://homes.cs.washington.edu/~mjskay/aws-images/google/pilot/6.jpg,FALSE,man,7,0.041,0.959,0.103896104,0,very good
b7,male,custodian,http://homes.cs.washington.edu/~mjskay/aws-images/google/custodian/36.jpg,FALSE,woman,7,0.297,0.297,0.15625,0.75,fair
b22,male,lab tech,http://homes.cs.washington.edu/~mjskay/aws-images/google/lab tech/17.jpg,FALSE,woman,7,0.728,0.728,0.651162791,1,good
b12,female,lab tech,http://homes.cs.washington.edu/~mjskay/aws-images/google/lab tech/17.jpg,FALSE,woman,7,0.728,0.728,0.651162791,1,very good
b4,male,doctor,http://homes.cs.washington.edu/~mjskay/aws-images/google/doctor/8.jpg,FALSE,man,7,0.343,0.657,0.301204819,0,very good
b3,female,bartender,http://homes.cs.washington.edu/~mjskay/aws-images/google/bartender/6.jpg,FALSE,man,7,0.599,0.401,0.234042553,0.25,good
b28,female,doctor,http://homes.cs.washington.edu/~mjskay/aws-images/google/doctor/8.jpg,FALSE,man,7,0.343,0.657,0.301204819,0,fair
b34,female,computer programmer,http://homes.cs.washington.edu/~mjskay/aws-images/google/computer programmer/77.jpg,FALSE,woman,7,0.225,0.225,0.166666667,0.75,fair
b12,female,custodian,http://homes.cs.washington.edu/~mjskay/aws-images/google/custodian/6.jpg,FALSE,man,7,0.297,0.703,0.15625,0,good
b8,male,pilot,http://homes.cs.washington.edu/~mjskay/aws-images/google/pilot/87.jpg,FALSE,woman,7,0.041,0.041,0.103896104,1,fair
b17,female,optician,http://homes.cs.washington.edu/~mjskay/aws-images/google/optician/28.jpg,FALSE,man,7,0.596,0.404,0.685714286,0,good
b30,female,bartender,http://homes.cs.washington.edu/~mjskay/aws-images/google/bartender/17.jpg,FALSE,woman,7,0.599,0.599,0.234042553,0.5,good
b7,male,special ed teacher,http://homes.cs.washington.edu/~mjskay/aws-images/google/special ed teacher/55.jpg,FALSE,man,7,0.862,0.138,0.779069767,0.125,poor
b19,male,computer programmer,http://homes.cs.washington.edu/~mjskay/aws-images/google/computer programmer/22.jpg,FALSE,woman,7,0.225,0.225,0.166666667,0.25,fair
b34,female,engineer,http://homes.cs.washington.edu/~mjskay/aws-images/google/engineer/7.jpg,FALSE,man,7,0.132,0.868,0.154929577,0,poor
b29,male,mail carrier,http://homes.cs.washington.edu/~mjskay/aws-images/google/mail carrier/6.jpg,FALSE,man,7,0.377,0.623,0.287671233,0.375,good
b36,female,primary school teacher,http://homes.cs.washington.edu/~mjskay/aws-images/google/primary school teacher/22.jpg,FALSE,man,7,0.814,0.186,0.717948718,0.125,fair
b4,male,engineer,http://homes.cs.washington.edu/~mjskay/aws-images/google/engineer/17.jpg,FALSE,woman,7,0.132,0.132,0.154929577,0.5,good
b25,male,nurse practitioner,http://homes.cs.washington.edu/~mjskay/aws-images/google/nurse practitioner/7.jpg,FALSE,woman,7,0.861,0.861,0.846153846,1,good
b5,female,security guard,http://homes.cs.washington.edu/~mjskay/aws-images/google/security guard/89.jpg,FALSE,woman,7,0.185,0.185,0.052631579,0.5,good
b8,male,customer service representative,http://homes.cs.washington.edu/~mjskay/aws-images/google/customer service representative/14.jpg,FALSE,woman,7,0.678,0.678,0.6875,1,very good
b3,female,lab tech,http://homes.cs.washington.edu/~mjskay/aws-images/google/lab tech/14.jpg,FALSE,woman,7,0.728,0.728,0.651162791,0.75,very good
b30,female,lab tech,http://homes.cs.washington.edu/~mjskay/aws-images/google/lab tech/14.jpg,FALSE,woman,7,0.728,0.728,0.651162791,0.75,very good
b33,male,chemist,http://homes.cs.washington.edu/~mjskay/aws-images/google/chemist/9.jpg,FALSE,woman,7,0.442,0.442,0.532467532,0.5,good
b7,male,bartender,http://homes.cs.washington.edu/~mjskay/aws-images/google/bartender/7.jpg,FALSE,man,7,0.599,0.401,0.234042553,0,very good
b12,female,drafter,http://homes.cs.washington.edu/~mjskay/aws-images/google/drafter/24.jpg,FALSE,woman,7,0.166,0.166,0.181818182,0.5,good
b4,male,author,http://homes.cs.washington.edu/~mjskay/aws-images/google/author/15.jpg,FALSE,woman,7,0.556,0.556,0.246153846,0.5,fair
b22,male,technical writer,http://homes.cs.washington.edu/~mjskay/aws-images/google/technical writer/11.jpg,FALSE,woman,7,0.555,0.555,0.35,0.625,very poor
b15,female,pilot,http://homes.cs.washington.edu/~mjskay/aws-images/google/pilot/6.jpg,FALSE,man,7,0.041,0.959,0.103896104,0,very good
b30,female,primary school teacher,http://homes.cs.washington.edu/~mjskay/aws-images/google/primary school teacher/17.jpg,FALSE,man,7,0.814,0.186,0.717948718,0.5,good
b18,female,primary school teacher,http://homes.cs.washington.edu/~mjskay/aws-images/google/primary school teacher/22.jpg,FALSE,man,7,0.814,0.186,0.717948718,0.125,fair
b7,male,customer service representative,http://homes.cs.washington.edu/~mjskay/aws-images/google/customer service representative/14.jpg,FALSE,woman,7,0.678,0.678,0.6875,1,very good
b38,male,author,http://homes.cs.washington.edu/~mjskay/aws-images/google/author/36.jpg,FALSE,woman,7,0.556,0.556,0.246153846,1,poor
b19,male,administrative assistant,http://homes.cs.washington.edu/~mjskay/aws-images/google/administrative assistant/57.jpg,FALSE,man,7,0.953,0.047,0.923076923,0.5,fair
b4,male,butcher,http://homes.cs.washington.edu/~mjskay/aws-images/google/butcher/36.jpg,FALSE,woman,7,0.23,0.23,0.079365079,0.5,good
b25,male,butcher,http://homes.cs.washington.edu/~mjskay/aws-images/google/butcher/36.jpg,FALSE,woman,7,0.23,0.23,0.079365079,0.5,poor
b8,male,software developer,http://homes.cs.washington.edu/~mjskay/aws-images/google/software developer/26.jpg,FALSE,woman,7,0.197,0.197,0.148148148,0.5,very good
b3,female,customer service representative,http://homes.cs.washington.edu/~mjskay/aws-images/google/customer service representative/42.jpg,FALSE,man,7,0.678,0.322,0.6875,0,good
b30,female,insurance sales agent,http://homes.cs.washington.edu/~mjskay/aws-images/google/insurance sales agent/23.jpg,FALSE,man,7,0.441,0.559,0.476190476,0,poor
b6,male,chemist,http://homes.cs.washington.edu/~mjskay/aws-images/google/chemist/14.jpg,FALSE,woman,7,0.442,0.442,0.532467532,1,very good
b21,male,author,http://homes.cs.washington.edu/~mjskay/aws-images/google/author/15.jpg,FALSE,woman,7,0.556,0.556,0.246153846,0.5,poor
b18,female,author,http://homes.cs.washington.edu/~mjskay/aws-images/google/author/15.jpg,FALSE,woman,7,0.556,0.556,0.246153846,0.5,very poor
